BEGIN_DATE_GMT,Actual_Load,Predicted_Load,Predicted_Load_lower,Predicted_Load_upper,Temperature_Norm_Load,Temperature_Norm_lower,Temperature_Norm_upper
2020-11-19 19:00:00,10767.0,10708.195566133598,9186.704190369866,12497.807710936586,10708.195566133598,9063.151818572811,12240.24271452497
2020-11-19 20:00:00,10865.0,10735.521589388607,9339.555979521368,12401.054032258467,10735.521589388607,9143.862938973904,12214.502345015295
2020-11-19 21:00:00,10840.0,10757.27395106896,9278.490415688215,12478.356745455381,10757.27395106896,9153.89587253868,12136.655973489342
2020-11-19 22:00:00,10883.0,10773.811064904383,9204.314798926684,12499.739022804348,10773.811064904383,9003.287761456271,12304.347974316594
2020-11-19 23:00:00,11053.0,10789.542690843158,9276.51284449084,12563.843451130493,10789.542690843158,9123.379678409137,12254.905528922089
2020-11-20 00:00:00,11136.0,10814.388099775315,9340.54239860842,12692.321004094529,10814.388099775315,9149.84445157483,12285.573338991038
2020-11-20 01:00:00,10895.0,10823.501631164369,9334.719454956468,12583.925633852112,10823.501631164369,9240.548154044292,12308.019692647069
2020-11-20 02:00:00,10811.0,10768.564141845134,9242.487299619064,12498.936292205974,10768.564141845134,9101.876371225386,12268.258810054325
2020-11-20 03:00:00,10658.0,10613.407786693318,9100.076426377058,12279.463886627433,10613.407786693318,9003.679535612859,12036.239363177781
2020-11-20 04:00:00,10458.0,10369.918542048508,8775.867122627895,12072.696671301728,10369.918542048508,8752.375308245799,11858.855158222204
2020-11-20 05:00:00,10177.0,10085.232480084045,8546.229836040675,11906.90036710479,10085.232480084045,8415.523216786687,11615.104021745663
2020-11-20 06:00:00,9890.0,9808.518160101361,8275.424475710504,11514.678654547504,9808.518160101361,8164.5709459603595,11226.770213247593
2020-11-20 07:00:00,9738.0,9611.582211760015,8165.284048399898,11463.277427510438,9611.582211760015,7917.62412315637,11109.930993649941
2020-11-20 08:00:00,9713.0,9482.266100925426,7934.031921404991,11232.936940255624,9482.266100925426,7910.982616584322,10991.365518199964
2020-11-20 09:00:00,9657.0,9425.44344686385,7823.390100578333,11224.99883947259,9425.44344686385,7799.380846541108,10881.912559722497
2020-11-20 10:00:00,9661.0,9449.25098082253,7944.152407299973,11238.032616048005,9449.25098082253,7811.591027004898,10944.117566011582
2020-11-20 11:00:00,9684.0,9567.467352832762,8062.414190384277,11287.555446468628,9567.467352832762,8000.662178918469,11042.267941079783
2020-11-20 12:00:00,9827.0,9786.402698147978,8356.631055772756,11490.485405501777,9786.402698147978,8160.1080994705335,11207.498067571507
2020-11-20 13:00:00,10181.0,10075.799679248845,8592.169942699917,11837.713625512895,10075.799679248845,8385.24729292306,11534.680413223941
2020-11-20 14:00:00,10647.0,10361.053435409893,8848.412580503405,12109.56533831102,10361.053435409893,8731.37222742309,11933.789150388246
2020-11-20 15:00:00,10814.0,10584.436417199813,8957.295992702624,12408.002945718263,10584.436417199813,8909.184791377458,11937.312253484235
2020-11-20 16:00:00,10806.0,10712.731742714035,9175.881477689481,12356.513514756756,10712.731742714035,9074.463286152299,12183.443234549428
2020-11-20 17:00:00,10821.0,10740.71474532361,9271.153988498443,12689.567471063267,10740.71474532361,9001.329342465873,12217.114549031452
2020-11-20 18:00:00,10777.0,10723.45717836541,9223.825864944429,12332.965132371774,10723.45717836541,9025.209680819109,12189.84508413286
2020-11-20 19:00:00,10733.0,10700.114602434312,9132.95606196434,12372.071944740692,10700.114602434312,9017.332540801532,12158.300852788898
2020-11-20 20:00:00,10698.0,10703.680538015822,9249.1826315808,12524.32971101644,10703.680538015822,9076.506170118855,12172.572369313117
2020-11-20 21:00:00,10649.0,10694.967991964017,9195.727459038382,12489.786899701141,10694.967991964017,8973.613936097932,12095.254583078618
2020-11-20 22:00:00,10634.0,10702.060346379772,9073.25394979197,12445.822042425394,10702.060346379772,9003.767197220866,12194.618889275333
2020-11-20 23:00:00,10827.0,10720.154794169528,9250.210897437686,12456.75163493037,10720.154794169528,9057.285025712443,12148.227731659847
2020-11-21 00:00:00,10984.0,10496.283984621927,8943.694217750492,12393.990311008363,10496.283984621927,8885.25200900833,11973.00070090016
2020-11-21 01:00:00,10855.0,10521.7251970307,8955.267065808515,12193.026205478589,10521.7251970307,8895.32065925138,12070.627760472224
2020-11-21 02:00:00,10700.0,10476.313050886061,8979.342835156738,12255.45635264644,10476.313050886061,8857.035361294806,11908.620177654386
2020-11-21 03:00:00,10534.0,10316.993447417759,8780.386054776425,12177.032253533836,10316.993447417759,8698.108288350873,11735.451240343844
2020-11-21 04:00:00,10355.0,10068.205363600668,8616.303239402374,11846.320914707154,10068.205363600668,8439.195770675351,11638.494521941067
2020-11-21 05:00:00,10109.0,9787.88211960046,8220.00732318612,11667.118303655696,9787.88211960046,8065.19824543915,11161.230522697975
2020-11-21 06:00:00,9844.0,9502.95487052413,7941.842571417386,11345.801416835422,9502.95487052413,7905.699198857343,11059.73499986974
2020-11-21 07:00:00,9663.0,9303.490518586255,7801.631041561484,11107.665861470952,9303.490518586255,7604.017571082615,10687.499418725527
2020-11-21 08:00:00,9580.0,9194.272726986883,7687.459071526273,11003.037334532577,9194.272726986883,7463.301649656731,10741.007097993077
2020-11-21 09:00:00,9500.0,9122.34634924903,7544.919262319221,10851.658989243242,9122.34634924903,7499.247937271549,10597.06852614582
2020-11-21 10:00:00,9453.0,9114.83330961899,7557.7157202673525,10846.32418790246,9114.83330961899,7454.402739381959,10568.282378712807
2020-11-21 11:00:00,9483.0,9218.305689189663,7724.632032329272,10999.39244050222,9218.305689189663,7479.807432550557,10726.186519406661
2020-11-21 12:00:00,9523.0,9415.447009100895,7852.094252201461,11120.97737038235,9415.447009100895,7847.092338492752,10872.111568155742
2020-11-21 13:00:00,9662.0,9696.761527971503,8093.231302684859,11409.533926006456,9696.761527971503,7995.253505532744,11191.99674302568
2020-11-21 14:00:00,9899.0,9983.145087876625,8487.599237518392,11814.788941881354,9983.145087876625,8281.767018489652,11390.332953019906
